"Time","Hero","X Pos.","Y Pos.","Type","Visible to"
"-0.30","Morphling","91","94","normal","Radiant only"
"-0.30","Io","74","80","normal","Radiant only"
"-0.25","Keeper of the Light","98","147","normal","Radiant only"
"-0.25","Lycan","77","102","normal","Radiant only"
"-0.25","Morphling","92","97","normal","Radiant only"
"-0.25","Io","77","83","normal","Radiant only"
"-0.20","Puck","137","93","normal","Radiant only"
"-0.20","Keeper of the Light","104","144","normal","Radiant only"
"-0.20","Lycan","77","102","normal","Radiant only"
"-0.20","Morphling","92","97","normal","Radiant only"
"-0.20","Io","81","88","normal","Radiant only"
"-0.15","Puck","135","99","normal","Radiant only"
"-0.15","Keeper of the Light","103","140","normal","Radiant only"
"-0.15","Lycan","77","102","normal","Radiant only"
"-0.15","Morphling","92","98","normal","Radiant only"
"-0.15","Io","86","92","normal","Radiant only"
"-0.10","Puck","136","103","normal","Radiant only"
"-0.10","Keeper of the Light","104","140","normal","Radiant only"
"-0.10","Lycan","77","102","normal","Radiant only"
"-0.10","Morphling","93","97","normal","Radiant only"
"-0.10","Io","90","96","normal","Radiant only"
"-0.05","Puck","136","97","normal","Radiant only"
"-0.05","Keeper of the Light","103","139","normal","Radiant only"
"-0.05","Lycan","77","102","normal","Radiant only"
"-0.05","Morphling","92","98","normal","Radiant only"
"-0.05","Io","96","101","normal","Radiant only"
"0.00","Puck","138","93","normal","Radiant only"
"0.00","Keeper of the Light","104","139","normal","Radiant only"
"0.00","Lycan","77","102","normal","Radiant only"
"0.00","Morphling","92","98","normal","Radiant only"
"0.00","Io","98","104","normal","Radiant only"
"0.05","Puck","136","89","normal","Radiant only"
"0.05","Keeper of the Light","102","139","normal","Radiant only"
"0.05","Lycan","77","102","normal","Radiant only"
"0.05","Morphling","95","98","normal","Radiant only"
"0.05","Io","97","101","normal","Radiant only"
"0.10","Puck","132","83","normal","Radiant only"
"0.10","Keeper of the Light","97","136","normal","Radiant only"
"0.10","Lycan","78","106","normal","Radiant only"
"0.10","Morphling","100","102","normal","Radiant only"
"0.10","Io","100","103","normal","Radiant only"
"0.15","Puck","128","78","normal","Radiant only"
"0.15","Keeper of the Light","92","131","normal","Radiant only"
"0.15","Lycan","78","110","normal","Radiant only"
"0.15","Morphling","105","106","normal","Radiant only"
"0.15","Io","104","107","normal","Radiant only"
"0.20","Puck","135","78","normal","Radiant only"
"0.20","Keeper of the Light","85","133","normal","Radiant only"
"0.20","Lycan","78","116","normal","Radiant only"
"0.20","Morphling","108","111","normal","Radiant only"
"0.20","Io","108","111","normal","Radiant only"
"0.25","Puck","142","78","normal","Radiant only"
"0.25","Keeper of the Light","83","131","normal","Radiant only"
"0.25","Lycan","78","120","normal","Radiant only"
"0.25","Morphling","112","116","normal","Radiant only"
"0.25","Io","111","115","normal","Radiant only"
"0.30","Puck","149","79","normal","Radiant only"
"0.30","Keeper of the Light","79","133","normal","Radiant only"
"0.30","Lycan","78","125","normal","Radiant only"
"0.30","Morphling","116","119","normal","Radiant only"
"0.30","Io","114","118","normal","Radiant only"
"0.35","Puck","155","79","normal","Radiant only"
"0.35","Keeper of the Light","79","131","normal","Radiant only"
"0.35","Lycan","78","131","normal","Radiant only"
"0.35","Morphling","119","122","normal","Radiant only"
"0.35","Io","117","122","normal","Radiant only"
"0.40","Puck","161","80","normal","Radiant only"
"0.40","Keeper of the Light","81","137","normal","Radiant only"
"0.40","Lycan","78","137","normal","Radiant only"
"0.40","Io","114","127","normal","Radiant only"
"0.45","Puck","165","83","normal","Radiant only"
"0.45","Keeper of the Light","82","139","normal","Radiant only"
"0.45","Lycan","78","142","normal","Radiant only"
"0.50","Puck","169","86","normal","Radiant only"
"0.50","Keeper of the Light","80","145","normal","Radiant only"
"0.50","Lycan","78","149","normal","Radiant only"
"0.55","Keeper of the Light","80","153","normal","Radiant only"
"0.55","Io","119","124","normal","Radiant only"
"0.80","Morphling","122","122","normal","Radiant only"
"0.80","Io","122","114","normal","Radiant only"
"0.85","Io","119","108","normal","Radiant only"
"0.90","Io","119","101","normal","Radiant only"
"0.95","Io","118","104","normal","Radiant only"
"1.00","Morphling","120","121","normal","Radiant only"
"1.00","Io","119","109","normal","Radiant only"
"1.10","Keeper of the Light","85","163","normal","Radiant only"
"1.15","Keeper of the Light","86","163","normal","Radiant only"
"1.20","Keeper of the Light","88","157","normal","Radiant only"
"1.25","Keeper of the Light","89","155","normal","Radiant only"
"1.30","Keeper of the Light","89","155","normal","Radiant only"
"1.35","Keeper of the Light","88","155","normal","Radiant only"
"1.37","Keeper of the Light","88","155","on hero kill","Radiant only"
"1.39","Keeper of the Light","85","155","on hero kill","Radiant only"
"1.39","Io","99","102","dead","Radiant only"
"1.40","Keeper of the Light","84","155","normal","Radiant only"
"1.40","Io","99","102","dead","Radiant only"
"1.45","Keeper of the Light","78","154","normal","Radiant only"
"1.45","Morphling","108","115","normal","Radiant only"
"1.45","Io","76","77","normal","Radiant only"
"1.50","Keeper of the Light","80","156","normal","Radiant only"
"1.50","Lycan","81","164","normal","Radiant only"
"1.50","Io","80","82","normal","Radiant only"
"1.55","Keeper of the Light","80","159","normal","Radiant only"
"1.55","Io","86","86","normal","Radiant only"
"1.60","Io","91","90","normal","Radiant only"
"1.65","Keeper of the Light","82","157","normal","Radiant only"
"1.65","Io","95","96","normal","Radiant only"
"1.70","Morphling","117","121","normal","Radiant only"
"1.70","Io","100","101","normal","Radiant only"
"1.75","Keeper of the Light","89","154","normal","Radiant only"
"1.75","Io","104","106","normal","Radiant only"
"1.80","Io","108","107","normal","Radiant only"
"1.85","Io","112","104","normal","Radiant only"
"1.90","Keeper of the Light","86","151","normal","Radiant only"
"1.90","Io","116","99","normal","Radiant only"
"1.95","Keeper of the Light","89","151","normal","Radiant only"
"1.95","Io","118","105","normal","Radiant only"
"2.00","Puck","157","84","normal","Radiant only"
"2.00","Keeper of the Light","82","151","normal","Radiant only"
"2.00","Io","121","110","normal","Radiant only"
"2.05","Io","128","108","normal","Radiant only"
"2.10","Io","135","108","normal","Radiant only"
"2.35","Keeper of the Light","79","149","normal","Radiant only"
"2.35","Morphling","122","122","normal","Radiant only"
"2.35","Io","155","107","normal","Radiant only"
"2.40","Keeper of the Light","75","143","normal","Radiant only"
"2.40","Lycan","75","160","normal","Radiant only"
"2.40","Io","163","106","normal","Radiant only"
"2.45","Keeper of the Light","78","149","normal","Radiant only"
"2.50","Keeper of the Light","78","154","normal","Radiant only"
"2.55","Keeper of the Light","77","156","normal","Radiant only"
"2.70","Keeper of the Light","79","158","normal","Radiant only"
"2.70","Lycan","85","164","normal","Radiant only"
"2.75","Keeper of the Light","86","157","normal","Radiant only"
"2.75","Morphling","121","122","normal","Radiant only"
"2.80","Keeper of the Light","90","158","normal","Radiant only"
"2.80","Lycan","96","164","normal","Radiant only"
"2.85","Keeper of the Light","83","156","normal","Radiant only"
"2.85","Lycan","93","163","normal","Radiant only"
"2.90","Keeper of the Light","81","148","normal","Radiant only"
"2.95","Keeper of the Light","84","149","normal","Radiant only"
"2.95","Lycan","88","163","normal","Radiant only"
"3.00","Keeper of the Light","81","151","normal","Radiant only"
"3.00","Lycan","82","160","normal","Radiant only"
"3.05","Keeper of the Light","83","156","normal","Radiant only"
"3.05","Lycan","76","164","normal","Radiant only"
"3.10","Keeper of the Light","89","159","normal","Radiant only"
"3.10","Lycan","76","164","normal","Radiant only"
"3.15","Keeper of the Light","87","154","normal","Radiant only"
"3.15","Lycan","82","164","normal","Radiant only"
"3.20","Keeper of the Light","87","154","normal","Radiant only"
"3.20","Lycan","85","163","normal","Radiant only"
"3.25","Keeper of the Light","87","154","normal","Radiant only"
"3.25","Io","161","106","normal","Radiant only"
"3.30","Keeper of the Light","87","154","normal","Radiant only"
"3.30","Lycan","81","165","normal","Radiant only"
"3.30","Io","155","107","normal","Radiant only"
"3.35","Keeper of the Light","81","155","normal","Radiant only"
"3.35","Lycan","74","162","normal","Radiant only"
"3.35","Morphling","121","116","normal","Radiant only"
"3.40","Keeper of the Light","79","149","normal","Radiant only"
"3.40","Lycan","77","156","normal","Radiant only"
"3.45","Puck","181","98","normal","Radiant only"
"3.45","Keeper of the Light","79","153","normal","Radiant only"
"3.45","Io","135","112","normal","Radiant only"
"3.50","Io","131","114","normal","Radiant only"
"3.70","Io","116","121","normal","Radiant only"
"3.75","Io","118","119","normal","Radiant only"
"3.80","Lycan","74","160","normal","Radiant only"
"3.85","Io","122","120","normal","Radiant only"
"3.95","Keeper of the Light","81","151","normal","Radiant only"
"3.95","Lycan","78","152","normal","Radiant only"
"3.95","Io","133","114","normal","Radiant only"
"4.00","Morphling","111","139","normal","Radiant only"
"4.00","Io","139","110","normal","Radiant only"
"4.05","Morphling","113","139","normal","Radiant only"
"4.05","Io","136","111","normal","Radiant only"
"4.10","Morphling","116","134","normal","Radiant only"
"4.10","Io","131","115","normal","Radiant only"
"4.15","Io","125","119","normal","Radiant only"
"4.25","Keeper of the Light","81","151","normal","Radiant only"
"4.30","Puck","169","94","normal","Radiant only"
"4.30","Keeper of the Light","80","153","normal","Radiant only"
"4.35","Keeper of the Light","87","157","normal","Radiant only"
"4.40","Keeper of the Light","95","161","normal","Radiant only"
"4.45","Keeper of the Light","96","162","normal","Radiant only"
"4.45","Lycan","87","163","normal","Radiant only"
"4.50","Keeper of the Light","96","164","normal","Radiant only"
"4.50","Lycan","85","169","normal","Radiant only"
"4.55","Puck","177","93","normal","Radiant only"
"4.55","Lycan","85","169","normal","Radiant only"
"4.60","Puck","174","92","normal","Radiant only"
"4.60","Lycan","84","170","normal","Radiant only"
"4.70","Keeper of the Light","87","163","normal","Radiant only"
"4.75","Keeper of the Light","84","170","normal","Radiant only"
"4.95","Puck","182","97","normal","Radiant only"
"4.95","Keeper of the Light","75","164","normal","Radiant only"
"5.20","Puck","176","104","normal","Radiant only"
"5.20","Keeper of the Light","78","154","normal","Radiant only"
"5.20","Lycan","81","169","normal","Radiant only"
"5.25","Puck","181","98","normal","Radiant only"
"5.25","Keeper of the Light","80","152","normal","Radiant only"
"5.25","Morphling","134","113","normal","Radiant only"
"5.25","Io","74","76","normal","Radiant only"
"5.30","Puck","178","104","normal","Radiant only"
"5.30","Keeper of the Light","79","151","normal","Radiant only"
"5.30","Morphling","127","117","normal","Radiant only"
"5.30","Io","76","79","normal","Radiant only"
"5.35","Keeper of the Light","117","116","normal","Radiant only"
"5.35","Morphling","120","120","normal","Radiant only"
"5.35","Io","77","82","normal","Radiant only"
"5.40","Keeper of the Light","116","121","normal","Radiant only"
"5.40","Lycan","84","171","normal","Radiant only"
"5.40","Morphling","119","121","normal","Radiant only"
"5.40","Io","84","84","normal","Radiant only"
"5.45","Keeper of the Light","113","117","normal","Radiant only"
"5.45","Lycan","81","166","normal","Radiant only"
"5.45","Io","89","88","normal","Radiant only"
"5.50","Keeper of the Light","115","118","normal","Radiant only"
"5.50","Lycan","87","163","normal","Radiant only"
"5.50","Io","93","93","normal","Radiant only"
"5.55","Puck","173","97","normal","Radiant only"
"5.55","Keeper of the Light","112","116","normal","Radiant only"
"5.55","Lycan","86","161","normal","Radiant only"
"5.55","Io","98","96","normal","Radiant only"
"5.60","Puck","173","97","normal","Radiant only"
"5.60","Keeper of the Light","104","115","normal","Radiant only"
"5.60","Lycan","86","163","normal","Radiant only"
"5.60","Morphling","121","122","normal","Radiant only"
"5.60","Io","104","99","normal","Radiant only"
"5.65","Keeper of the Light","100","121","normal","Radiant only"
"5.65","Morphling","126","125","normal","Radiant only"
"5.65","Io","110","100","normal","Radiant only"
"5.70","Keeper of the Light","94","128","normal","Radiant only"
"5.70","Morphling","132","130","normal","Radiant only"
"5.70","Io","116","104","normal","Radiant only"
"5.75","Keeper of the Light","87","132","normal","Radiant only"
"5.75","Io","122","105","normal","Radiant only"
"5.80","Keeper of the Light","82","138","normal","Radiant only"
"5.80","Lycan","82","168","normal","Radiant only"
"5.80","Io","128","107","normal","Radiant only"
"5.85","Keeper of the Light","80","145","normal","Radiant only"
"5.85","Lycan","78","162","normal","Radiant only"
"5.85","Io","134","107","normal","Radiant only"
"5.90","Keeper of the Light","79","153","normal","Radiant only"
"5.90","Lycan","78","153","normal","Radiant only"
"5.95","Puck","169","90","normal","Radiant only"
"5.95","Keeper of the Light","78","149","normal","Radiant only"
"5.95","Lycan","78","152","normal","Radiant only"
"6.05","Io","155","106","normal","Radiant only"
"6.10","Morphling","122","136","normal","Radiant only"
"6.15","Morphling","115","140","normal","Radiant only"
"6.20","Keeper of the Light","79","143","normal","Radiant only"
"6.20","Lycan","79","161","normal","Radiant only"
"6.20","Morphling","110","142","normal","Radiant only"
"6.25","Keeper of the Light","79","150","normal","Radiant only"
"6.25","Lycan","83","167","normal","Radiant only"
"6.25","Morphling","116","139","normal","Radiant only"
"6.25","Io","165","97","normal","Radiant only"
"6.30","Keeper of the Light","80","158","normal","Radiant only"
"6.30","Morphling","123","136","normal","Radiant only"
"6.30","Io","165","95","normal","Radiant only"
"6.35","Keeper of the Light","83","166","normal","Radiant only"
"6.35","Io","165","91","normal","Radiant only"
"6.40","Keeper of the Light","83","166","normal","Radiant only"
"6.40","Lycan","81","167","normal","Radiant only"
"6.40","Io","162","91","normal","Radiant only"
"6.45","Keeper of the Light","86","161","normal","Radiant only"
"6.45","Lycan","79","160","normal","Radiant only"
"6.45","Io","163","91","normal","Radiant only"
"6.50","Keeper of the Light","92","159","normal","Radiant only"
"6.50","Lycan","81","158","normal","Radiant only"
"6.50","Io","165","94","normal","Radiant only"
"6.55","Keeper of the Light","94","160","normal","Radiant only"
"6.55","Lycan","85","161","normal","Radiant only"
"6.60","Keeper of the Light","89","159","normal","Radiant only"
"6.65","Keeper of the Light","84","156","normal","Radiant only"
"6.65","Io","164","88","normal","Radiant only"
"6.70","Keeper of the Light","82","155","normal","Radiant only"
"6.70","Io","162","92","normal","Radiant only"
"6.75","Keeper of the Light","79","156","normal","Radiant only"
"6.80","Keeper of the Light","79","158","normal","Radiant only"
"6.85","Lycan","82","168","normal","Radiant only"
"6.90","Keeper of the Light","84","166","normal","Radiant only"
"6.90","Io","154","85","normal","Radiant only"
"6.95","Io","148","88","normal","Radiant only"
"7.00","Puck","171","81","normal","Radiant only"
"7.00","Keeper of the Light","76","165","normal","Radiant only"
"7.00","Io","142","91","normal","Radiant only"
"7.05","Keeper of the Light","77","165","normal","Radiant only"
"7.05","Io","137","96","normal","Radiant only"
"7.10","Keeper of the Light","77","165","normal","Radiant only"
"7.10","Io","133","102","normal","Radiant only"
"7.15","Keeper of the Light","83","168","normal","Radiant only"
"7.15","Io","129","107","normal","Radiant only"
"7.20","Keeper of the Light","81","169","normal","Radiant only"
"7.20","Io","125","110","normal","Radiant only"
"7.25","Keeper of the Light","81","172","normal","Radiant only"
"7.25","Io","123","117","normal","Radiant only"
"7.30","Keeper of the Light","81","172","normal","Radiant only"
"7.30","Io","121","121","normal","Radiant only"
"7.35","Keeper of the Light","83","170","normal","Radiant only"
"7.35","Io","121","121","normal","Radiant only"
"7.40","Keeper of the Light","78","166","normal","Radiant only"
"7.40","Io","120","121","normal","Radiant only"
"7.45","Keeper of the Light","78","167","normal","Radiant only"
"7.45","Lycan","80","167","normal","Radiant only"
"7.45","Io","120","121","normal","Radiant only"
"7.50","Keeper of the Light","75","164","normal","Radiant only"
"7.50","Lycan","73","163","normal","Radiant only"
"7.50","Io","120","122","normal","Radiant only"
"7.55","Keeper of the Light","73","163","normal","Radiant only"
"7.55","Lycan","77","157","normal","Radiant only"
"7.55","Io","123","124","normal","Radiant only"
"7.60","Lycan","80","153","normal","Radiant only"
"7.65","Lycan","82","160","normal","Radiant only"
"7.65","Morphling","138","135","normal","Radiant only"
"7.65","Io","135","128","normal","Radiant only"
"7.70","Keeper of the Light","75","160","normal","Radiant only"
"7.70","Lycan","83","158","normal","Radiant only"
"7.70","Io","142","130","normal","Radiant only"
"7.75","Keeper of the Light","83","156","normal","Radiant only"
"7.75","Lycan","88","157","normal","Radiant only"
"7.75","Io","143","129","normal","Radiant only"
"7.80","Keeper of the Light","87","155","normal","Radiant only"
"7.80","Lycan","95","161","normal","Radiant only"
"7.80","Morphling","142","136","normal","Radiant only"
"7.80","Io","142","135","normal","Radiant only"
"7.85","Keeper of the Light","81","152","normal","Radiant only"
"7.85","Lycan","101","164","normal","Radiant only"
"7.90","Keeper of the Light","79","154","normal","Radiant only"
"7.90","Lycan","102","163","normal","Radiant only"
"7.91","Keeper of the Light","78","153","on hero kill","Radiant only"
"7.91","Lycan","102","163","on hero kill","Radiant only"
"7.95","Keeper of the Light","79","153","normal","Radiant only"
"7.95","Lycan","103","163","normal","Radiant only"
"8.00","Puck","163","82","normal","Radiant only"
"8.00","Keeper of the Light","81","155","normal","Radiant only"
"8.00","Lycan","100","164","normal","Radiant only"
"8.05","Puck","163","82","normal","Radiant only"
"8.05","Keeper of the Light","79","154","normal","Radiant only"
"8.05","Lycan","93","161","normal","Radiant only"
"8.15","Morphling","143","126","normal","Radiant only"
"8.20","Morphling","144","119","normal","Radiant only"
"8.20","Io","73","75","normal","Radiant only"
"8.25","Lycan","79","161","normal","Radiant only"
"8.25","Morphling","142","115","normal","Radiant only"
"8.25","Io","73","75","normal","Radiant only"
"8.30","Keeper of the Light","81","160","normal","Radiant only"
"8.30","Morphling","135","119","normal","Radiant only"
"8.35","Keeper of the Light","88","162","normal","Radiant only"
"8.35","Morphling","128","122","normal","Radiant only"
"8.37","Keeper of the Light","89","162","on hero kill","Radiant only"
"8.37","Morphling","125","123","on hero kill","Radiant only"
"8.40","Keeper of the Light","89","163","normal","Radiant only"
"8.40","Morphling","122","127","normal","Radiant only"
"8.45","Keeper of the Light","86","164","normal","Radiant only"
"8.45","Morphling","117","133","normal","Radiant only"
"8.50","Puck","168","85","normal","Radiant only"
"8.50","Keeper of the Light","88","163","normal","Radiant only"
"8.50","Morphling","112","139","normal","Radiant only"
"8.50","Io","163","90","normal","Radiant only"
"8.55","Keeper of the Light","88","165","normal","Radiant only"
"8.55","Morphling","113","139","normal","Radiant only"
"8.60","Keeper of the Light","88","165","normal","Radiant only"
"8.60","Morphling","116","136","normal","Radiant only"
"8.61","Keeper of the Light","88","165","on hero kill","Radiant only"
"8.61","Morphling","116","136","on hero kill","Radiant only"
"8.65","Puck","169","76","dead","Radiant only"
"8.65","Keeper of the Light","88","164","normal","Radiant only"
"8.65","Morphling","116","136","normal","Radiant only"
"8.65","Io","155","84","normal","Radiant only"
"8.70","Puck","169","76","dead","Radiant only"
"8.70","Keeper of the Light","86","164","normal","Radiant only"
"8.73","Puck","169","76","dead","Radiant only"
"8.73","Keeper of the Light","86","164","on hero kill","Radiant only"
"8.73","Io","163","78","on hero kill","Radiant only"
"8.75","Puck","169","76","dead","Radiant only"
"8.75","Keeper of the Light","85","164","normal","Radiant only"
"8.75","Io","163","78","dead","Radiant only"
"8.80","Puck","169","76","dead","Radiant only"
"8.80","Keeper of the Light","83","167","normal","Radiant only"
"8.80","Lycan","83","166","normal","Radiant only"
"8.80","Io","163","78","dead","Radiant only"
"8.85","Puck","169","76","dead","Radiant only"
"8.85","Lycan","90","163","normal","Radiant only"
"8.85","Io","163","78","dead","Radiant only"
"8.90","Puck","169","76","dead","Radiant only"
"8.90","Keeper of the Light","83","166","normal","Radiant only"
"8.90","Lycan","96","165","normal","Radiant only"
"8.90","Io","163","78","dead","Radiant only"
"8.95","Puck","169","76","dead","Radiant only"
"8.95","Keeper of the Light","80","166","normal","Radiant only"
"8.95","Lycan","93","161","normal","Radiant only"
"8.95","Io","163","78","dead","Radiant only"
"8.98","Puck","169","76","dead","Radiant only"
"8.98","Lycan","87","163","on hero kill","Radiant only"
"8.98","Io","163","78","dead","Radiant only"
"9.00","Puck","169","76","dead","Radiant only"
"9.00","Io","163","78","dead","Radiant only"
"9.05","Puck","169","76","dead","Radiant only"
"9.05","Io","163","78","dead","Radiant only"
"9.10","Puck","169","76","dead","Radiant only"
"9.10","Keeper of the Light","88","163","normal","Radiant only"
"9.10","Morphling","163","121","normal","Radiant only"
"9.10","Io","75","78","normal","Radiant only"
"9.15","Puck","72","74","normal","Radiant only"
"9.15","Morphling","156","118","normal","Radiant only"
"9.15","Io","74","79","normal","Radiant only"
"9.20","Puck","170","87","normal","Radiant only"
"9.20","Keeper of the Light","77","163","normal","Radiant only"
"9.20","Lycan","79","160","normal","Radiant only"
"9.20","Morphling","149","115","normal","Radiant only"
"9.20","Io","79","80","normal","Radiant only"
"9.25","Keeper of the Light","73","161","normal","Radiant only"
"9.25","Lycan","81","152","normal","Radiant only"
"9.25","Morphling","142","116","normal","Radiant only"
"9.25","Io","84","84","normal","Radiant only"
"9.30","Puck","179","97","normal","Radiant only"
"9.30","Keeper of the Light","77","159","normal","Radiant only"
"9.30","Lycan","80","144","normal","Radiant only"
"9.30","Morphling","135","120","normal","Radiant only"
"9.30","Io","89","89","normal","Radiant only"
"9.35","Puck","178","101","normal","Radiant only"
"9.35","Keeper of the Light","78","154","normal","Radiant only"
"9.35","Lycan","83","136","normal","Radiant only"
"9.35","Morphling","127","122","normal","Radiant only"
"9.35","Io","94","94","normal","Radiant only"
"9.40","Keeper of the Light","79","147","normal","Radiant only"
"9.40","Lycan","89","131","normal","Radiant only"
"9.40","Io","98","100","normal","Radiant only"
"9.45","Keeper of the Light","78","152","normal","Radiant only"
"9.45","Lycan","94","125","normal","Radiant only"
"9.45","Io","103","104","normal","Radiant only"
"9.50","Keeper of the Light","77","158","normal","Radiant only"
"9.50","Lycan","100","120","normal","Radiant only"
"9.50","Morphling","115","119","normal","Radiant only"
"9.50","Io","107","109","normal","Radiant only"
"9.55","Keeper of the Light","74","160","normal","Radiant only"
"9.55","Lycan","104","113","normal","Radiant only"
"9.55","Morphling","109","115","normal","Radiant only"
